#Date		All	Fix	All-minus-Fix
2012-02-15	2417	812	1605	8112ede2c7d7c1325710c8a32a87d53f2a08a38e
2012-02-26	2442	821	1621	bcc714c3991e72f64635b2f3314eb79e6055cd22
2012-03-05	2456	824	1632	741aba7d5820abed42b5dab0000eba88fd8e2631
2012-03-07	2462	825	1637	803df8e65068d2c161b45278b48a63bdb982aa52
2012-03-09	2472	827	1645	a68037e62c1aeb3c6f8342b6a4f1ef2b90279547
2012-03-13	2479	830	1649	759757f37b583e07f1ecc02e1fe8d290043fbb5d
2012-03-17	2486	833	1653	1e243a11f464f535324f90f3cc606c30c3fd1a82
2012-03-20	2486	833	1653	45e621676965dd1aef5fd88c6ac365ceef05ba56
2012-03-22	2495	837	1658	3dec443c315356d287d622c3b5cee7448ce24222
2012-03-25	2501	841	1660	741f83bd67ad6772ed018e1f95cc1c88ba99cacd
2012-04-02	2523	847	1676	d01362554e6956a7e74f3f66438901ae7f3cbabd
2012-04-06	2539	850	1689	8b1c2b7f0762b458de584ca5f2b05b20dac317c6
2012-04-12	2550	855	1695	70a697433bf9d6cc1a17bd1da530d35850eadea8
2012-04-22	2575	867	1708	e51eeb72e8814157226fa9561a10d1856c777f12
2012-05-03	2600	879	1721	53c5f9b64ca73ce35f98fe2a753ef94b85b91d79
2012-05-12	2613	883	1730	b52241c8da164fb6545ddb67c90bb03908f798c0
2012-05-14	2613	883	1730	00a843400f002ce2c6c0ed0bab8940ad86ccdad8
2012-05-16	2621	885	1736	4b321cccad54ddc1995e79f3c7f7e80e6708a81d
2012-05-17	2623	886	1737	ac7e19e84e063c56f432a90a8d2731087481e345
2012-05-18	2623	886	1737	a70b356d0e6ea4d8f9e1873de519ec9ab2773512
2012-05-21	2623	886	1737	19c78ecbc066bc18ee70016d664f35ff10fda0f4
2012-05-24	2628	887	1741	0c554bb1bfbc2f083e1146c1060debbe2295f99e
2012-05-30	2633	890	1743	fbf141fdbd3867b59534652142303d9215e26848
2012-06-02	2640	891	1749	eb8d5e220c6914ec31af6a0ad4d23659bc0b3d35
2012-06-13	2659	900	1759	e4f85bd3357ac360d5a961e3dbe19a731592607d
2012-06-27	2678	911	1767	9ba3528f298f00b187b0acf24d91e0fb6ed9a280
2012-07-01	2693	918	1775	1cd73154298bad5ac057e6959ea566ce0a8ec666
2012-07-17	2720	924	1796	db669667d5f6a445331f5314af43464caf9b1642
2012-07-18	2723	925	1798	d8972b1fc54cbcdaf784af87784696349bd0c772
2012-07-24	2723	925	1798	3ecac7f77bfac982eb4ba93c0a55b47ee993590a
2012-07-26	2728	925	1803	38ca15544b83227cfecb32076799e59c6148a20c
2012-07-28	2732	927	1805	c1ea408cfeab605cd0cbbab1bf99dd3460d6abd3
2012-07-31	2737	929	1808	9158b3098b567944f2b75d23f9651e02023572a1
2012-08-06	2749	936	1813	533cb81027e4786d3edaad3cf78b732bbf5d68dc
2012-08-12	2759	942	1817	1fc21fb35bfdb228db99759ff7cdf7f8b16ebf84
2012-08-21	2774	944	1830	49b7bf7af2967614c3bfdc43ca9fe859caf80081
2012-09-02	2788	950	1838	db26186b155070b8246c3a57636959149c7768ca
2012-09-14	2806	956	1850	8aacdcbfb8b7fc90eaa3873aba5cd76b48429786
2012-09-21	2806	956	1850	8fad121b4bf3815fc286a8c94e9123c7904ac4bd
2012-09-25	2817	960	1857	9841f6dd5239924146761f78fdb75d0002bdbd11
2012-09-28	2824	962	1862	993e53fd8924362724a44b4e4ca196f8d71f26a3
2012-10-02	2824	962	1862	3e1b5087d895bfb63bc2f6f9ae9d78d33827faec
2012-10-04	2829	965	1864	d6faaf7026b3d3f8cc1f25059ce4f28a70cc3266
2012-10-09	2838	968	1870	562f71ec57a5a4fd1eb2efff9960e56daaada7c0
2012-10-12	2847	971	1876	b2c879192b3b2ff72235df6cf0bcfd5fa832232a
2012-10-26	2870	980	1890	f8ed8aaadcedac689a05841150413b8c24e352f5
2012-11-02	2884	985	1899	2c9f04b00f9aceaeabfa4a3945bacbd47b902c3f
2012-11-10	2898	989	1909	4ec128aed5b1046b57f0a1a10372dcb8abd090be
2012-11-16	2913	994	1919	6283fffa7e682d885ac2afce106a219f9b45e6a4
2012-11-21	2927	1001	1926	07600e76459e0351fd740741102c997216fa5782
2012-11-23	2934	1002	1932	9fc6a739b35c0ace393c596d973ff1f7a0b18974
2012-11-28	2945	1005	1940	25909643da426cbfef8d46290ea8a3ad03bf210d
2012-12-02	2950	1007	1943	6c28d854536c1aab02b4ee950862cf3df71d7a27
2012-12-07	2952	1007	1945	868e517935fabaf0d9fcacc04202ba5dffb58393
2012-12-10	2954	1007	1947	9e6a382ea9065ab108206dce7c724d99c4ec6bf7
2012-12-12	2954	1007	1947	18e36a04b1190f8f3790d41db0f1af5fc6665027
2012-12-13	2959	1010	1949	d611b57f6975d311c9f1a7e9c404915ca8d32f6c
2012-12-19	2972	1016	1956	4783ef27038cfaf75e818d5056ef3a45002cd5b7
